method,profile_type,T0,run_id,seed,hv,pareto_size,pareto_feas,f1_interest_mean,cog_gap_mean,f3_coherence_mean,feasible_ratio,runtime_sec
SA_MOEAD,senior,300,8,50,0.047378,100,97,0.569020,0.016186,0.107748,0.970000,6.644672
SA_MOEAD,senior,300,9,51,0.041015,100,100,0.612691,0.013400,0.091219,1.000000,8.767954
SA_MOEAD,senior,300,10,52,0.048946,100,100,0.594574,0.020300,0.136592,1.000000,5.226798
SA_MOEAD,senior,300,11,53,0.042747,91,82,0.531304,0.021585,0.086137,0.901099,8.419276
SA_MOEAD,senior,300,12,54,0.046121,95,95,0.515951,0.014711,0.098292,1.000000,14.241496
SA_MOEAD,senior,300,13,55,0.054068,98,98,0.586675,0.044490,0.120966,1.000000,6.369959
SA_MOEAD,senior,300,14,56,0.047934,98,98,0.559449,0.019643,0.122883,1.000000,5.516545
SA_MOEAD,senior,300,15,57,0.042780,97,97,0.592791,0.016675,0.113286,1.000000,4.108905
SA_MOEAD,senior,300,16,58,0.048042,95,95,0.596394,0.039789,0.121975,1.000000,5.834756
SA_MOEAD,senior,300,17,59,0.054641,100,100,0.586998,0.053825,0.129202,1.000000,4.483678
SA_MOEAD,senior,300,18,60,0.046642,100,100,0.502341,0.008325,0.131678,1.000000,4.069547
SA_MOEAD,senior,300,19,61,0.053370,83,83,0.585545,0.032590,0.116953,1.000000,3.817754
SA_MOEAD,senior,300,20,62,0.041292,95,95,0.599515,0.023395,0.100874,1.000000,5.328351
SA_MOEAD,senior,300,21,63,0.040553,98,98,0.610204,0.024311,0.085823,1.000000,3.808600
SA_MOEAD,senior,300,22,64,0.040927,99,99,0.591995,0.015783,0.096331,1.000000,11.556788
SA_MOEAD,senior,300,23,65,0.052825,95,95,0.613038,0.022184,0.131635,1.000000,3.746661
SA_MOEAD,senior,300,24,66,0.042342,97,97,0.628788,0.002294,0.116750,1.000000,3.919519
SA_MOEAD,senior,300,25,67,0.044815,99,99,0.526447,0.059495,0.086481,1.000000,10.972640
SA_MOEAD,senior,300,26,68,0.047288,92,78,0.559733,0.021090,0.090060,0.847826,11.931456
SA_MOEAD,senior,300,27,69,0.053228,96,96,0.542762,0.026042,0.114933,1.000000,10.294778
SA_MOEAD,senior,300,28,70,0.048703,83,83,0.533555,0.038042,0.113415,1.000000,7.266743
SA_MOEAD,senior,300,29,71,0.045836,100,100,0.553399,0.029075,0.121318,1.000000,3.763055
SA_MOEAD,senior,300,30,72,0.045894,93,93,0.590235,0.014919,0.109826,1.000000,9.705725
SA_MOEAD,senior,600,1,43,0.043676,94,94,0.523963,0.019601,0.103095,1.000000,14.052734
SA_MOEAD,senior,600,2,44,0.043309,59,59,0.553957,0.010508,0.105204,1.000000,26.375232
SA_MOEAD,senior,600,3,45,0.037471,98,98,0.573398,0.005982,0.110339,1.000000,8.948745
SA_MOEAD,senior,600,4,46,0.042212,97,97,0.559002,0.007358,0.108792,1.000000,9.878395
SA_MOEAD,senior,600,5,47,0.044568,79,69,0.521890,0.013569,0.097430,0.873418,35.242464
SA_MOEAD,senior,600,6,48,0.038601,90,90,0.515334,0.013889,0.097525,1.000000,17.686932
SA_MOEAD,senior,600,7,49,0.039991,96,96,0.564207,0.017513,0.105270,1.000000,8.889443
SA_MOEAD,senior,600,8,50,0.045935,87,87,0.528409,0.010374,0.104486,1.000000,7.895017
SA_MOEAD,senior,600,9,51,0.044725,92,92,0.555010,0.013370,0.108472,1.000000,15.378397
SA_MOEAD,senior,600,10,52,0.039856,87,85,0.531309,0.017309,0.097962,0.977011,20.993299
SA_MOEAD,senior,600,11,53,0.046843,90,90,0.543516,0.014028,0.114724,1.000000,13.636279
